class_name,project_name,class_id,class_path,Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
Editor.java,arduino,AW-XFOWCrInABnR0ba3E,app/src/processing/app/Editor.java,1,329.0,8.0,33.0,34.4,2.0,293,52.0,282.0,13.0,361.0,1704.0,69.0,4.0,262.0,662,1820.0,0.0,16.89497717
Base.java,arduino,AW-XFOWBrInABnR0ba3D,app/src/processing/app/Base.java,1,467.0,5.0,26.0,23.54,2.0,326,70.0,361.0,1.0,426.0,4153.0,94.0,4.0,259.0,2156,1721.0,0.0,17.21981722
PApplet.java,arduino,AW-XFOWGrInABnR0ba45,arduino-core/src/processing/app/legacy/PApplet.java,1,11.0,65.0,3.0,81.63,1.0,16,3.0,108.0,1.0,74.0,774.0,40.0,3.0,66.0,30,410.0,0.0,35.73667712
Preferences.java,arduino,AW-XFOWFrInABnR0ba4f,app/src/cc/arduino/view/preferences/Preferences.java,1,34.0,29.0,8.0,73.57,4.5,217,14.0,46.0,6.0,130.0,144.0,20.0,4.0,93.0,41,799.0,0.0,4.540023895
BaseNoGui.java,arduino,AW-XFOWGrInABnR0ba4w,arduino-core/src/processing/app/BaseNoGui.java,1,184.0,5.0,12.0,37.28,2.0,40,34.0,188.0,1.0,163.0,1635.0,59.0,5.0,108.0,276,698.0,0.0,18.17116061
CommandlineParser.java,arduino,AW-XFOWIrInABnR0ba5Z,arduino-core/src/processing/app/helpers/CommandlineParser.java,1,21.0,17.0,6.0,53.6,1.0,9,9.0,103.0,1.0,36.0,183.0,26.0,4.0,30.0,14,310.0,0.0,0.958466454
InstallerJDialog.java,arduino,AW-XFOWErInABnR0ba4B,app/src/cc/arduino/contributions/ui/InstallerJDialog.java,0,38.0,10.0,6.0,52.14,2.5,1,10.0,19.0,6.0,74.0,55.0,14.0,2.0,31.0,31,276.0,0.0,14.28571429
FindReplace.java,arduino,AW-XFOWGrInABnR0ba4p,app/src/cc/arduino/view/findreplace/FindReplace.java,1,16.0,30.0,4.0,83.39,2.0,2,8.0,53.0,6.0,78.0,94.0,17.0,6.0,38.0,14,347.0,0.0,12.81407035
AbstractMonitor.java,arduino,AW-XFOWBrInABnR0ba28,app/src/processing/app/AbstractMonitor.java,0,28.0,6.0,9.0,58.56,1.0,4,6.0,27.0,6.0,37.0,178.0,21.0,2.0,15.0,59,157.0,0.0,8.187134503
MultiLibraryInstallDialog.java,arduino,AW-XFOWDrInABnR0ba3t,app/src/cc/arduino/contributions/libraries/ui/MultiLibraryInstallDialog.java,0,2.0,88.0,1.0,100.0,1.0,0,8.0,8.0,6.0,36.0,1.0,3.0,3.0,21.0,0,125.0,0.0,18.83116883
AdditionalBoardsManagerURLTextArea.java,arduino,AW-XFOWFrInABnR0ba4e,app/src/cc/arduino/view/preferences/AdditionalBoardsManagerURLTextArea.java,0,7.0,28.0,1.0,100.0,6.0,0,3.0,13.0,6.0,52.0,53.0,11.0,0.0,15.0,2,131.0,0.0,21.55688623
NotificationPopup.java,arduino,AW-XFOWFrInABnR0ba4Z,app/src/cc/arduino/view/NotificationPopup.java,0,11.0,25.0,4.0,45.4,4.0,0,5.0,12.0,6.0,40.0,9.0,6.0,1.0,20.0,59,198.0,0.0,17.15481172
MenuScroller.java,arduino,AW-XFOWDrInABnR0ba3g,app/src/processing/app/tools/MenuScroller.java,0,10.0,68.0,5.0,58.13,3.5,1,4.0,48.0,7.0,33.0,0.0,30.0,2.0,29.0,21,341.0,0.0,43.35548173
GoToLineNumber.java,arduino,AW-XFOWFrInABnR0ba4X,app/src/cc/arduino/view/GoToLineNumber.java,0,2.0,74.0,2.0,98.67,1.0,0,5.0,6.0,6.0,37.0,8.0,5.0,1.0,7.0,0,90.0,0.0,29.13385827
EditorHeader.java,arduino,AW-XFOWBrInABnR0ba20,app/src/processing/app/EditorHeader.java,1,37.0,10.0,11.0,46.66,2.0,1,12.0,33.0,4.0,49.0,20.0,8.0,3.0,60.0,22,238.0,0.0,17.36111111
Platform.java,arduino,AW-XFOWGrInABnR0ba4r,arduino-core/src/processing/app/windows/Platform.java,1,52.0,6.0,9.0,44.24,2.0,281,9.0,41.0,2.0,41.0,180.0,20.0,2.0,19.0,35,185.0,0.0,22.91666667
SerialUploader.java,arduino,AW-XFOWMrInABnR0ba6-,arduino-core/src/cc/arduino/packages/uploaders/SerialUploader.java,1,54.0,7.0,11.0,42.13,2.0,21,16.0,60.0,2.0,50.0,28.0,8.0,4.0,36.0,189,276.0,6.884057971,20.23121387
TextAreaFIFO.java,arduino,AW-XFOWBrInABnR0ba2-,app/src/processing/app/TextAreaFIFO.java,0,5.0,18.0,2.0,96.36,1.0,0,0.0,13.0,6.0,8.0,7.0,7.0,2.0,7.0,1,58.0,0.0,21.62162162
PasswordAuthorizationDialog.java,arduino,AW-XFOWCrInABnR0ba3T,app/src/processing/app/forms/PasswordAuthorizationDialog.java,0,7.0,17.0,2.0,97.97,3.0,0,4.0,5.0,6.0,32.0,0.0,5.0,0.0,9.0,3,93.0,0.0,0.0
FilterJTextField.java,arduino,AW-XFOWErInABnR0ba4G,app/src/cc/arduino/contributions/ui/FilterJTextField.java,0,13.0,11.0,5.0,55.0,1.0,0,1.0,13.0,6.0,23.0,1.0,6.0,2.0,6.0,1,90.0,0.0,26.82926829
Compiler.java,arduino,AW-XFOWKrInABnR0ba6e,arduino-core/src/cc/arduino/Compiler.java,1,45.0,14.0,7.0,69.42,1.0,286,29.0,83.0,1.0,121.0,100.0,17.0,3.0,74.0,189,486.0,0.0,8.646616541
EditorToolbar.java,arduino,AW-XFOWBrInABnR0ba2x,app/src/processing/app/EditorToolbar.java,1,45.0,13.0,12.0,53.3,2.0,3,12.0,92.0,4.0,59.0,244.0,29.0,3.0,72.0,132,381.0,0.0,17.17391304
Platform.java,arduino,AW-XFOWGrInABnR0ba41,arduino-core/src/processing/app/Platform.java,1,50.0,6.0,8.0,34.47,2.0,281,9.0,52.0,1.0,53.0,406.0,29.0,9.0,23.0,16,186.0,0.0,25.89641434
ArchiveExtractor.java,arduino,AW-XFOWLrInABnR0ba6v,arduino-core/src/cc/arduino/utils/ArchiveExtractor.java,0,16.0,19.0,5.0,48.75,3.0,4,13.0,54.0,1.0,55.0,8.0,5.0,5.0,28.0,319,201.0,0.0,25.55555556
SketchController.java,arduino,AW-XFOWBrInABnR0ba23,app/src/processing/app/SketchController.java,1,190.0,5.0,26.0,52.25,3.0,15,23.0,108.0,1.0,154.0,0.0,23.0,3.0,66.0,165,525.0,0.0,27.28531856
Preferences.java,arduino,AW-XFOWBrInABnR0ba22,app/src/processing/app/Preferences.java,0,96.0,1.0,18.0,35.95,3.0,217,2.0,12.0,1.0,12.0,66.0,12.0,0.0,3.0,125,55.0,0.0,50.89285714
SerialPortList.java,arduino,AW-XFOWGrInABnR0ba43,arduino-core/src/processing/app/SerialPortList.java,0,3.0,118.0,2.0,98.89,1.0,4,2.0,35.0,1.0,21.0,13.0,10.0,6.0,13.0,1,171.0,0.0,48.33836858
ContributionsIndexer.java,arduino,AW-XFOWKrInABnR0ba6G,arduino-core/src/cc/arduino/contributions/packages/ContributionsIndexer.java,1,58.0,8.0,6.0,51.33,2.0,7,23.0,102.0,1.0,101.0,131.0,26.0,5.0,56.0,93,383.0,0.0,10.72261072
